iter	Passed	Remaining
1336	53733	6550
1337	53774	6510
1338	53813	6470
1339	53852	6430
1340	53891	6389
1341	53930	6349
1342	53968	6309
1343	54009	6268
1344	54050	6228
1345	54092	6188
1346	54133	6148
1347	54172	6108
1348	54211	6068
1349	54252	6028
1350	54293	5988
1351	54338	5948
1352	54382	5908
1353	54423	5868
1354	54462	5828
1355	54502	5787
1356	54545	5747
1357	54589	5708
1358	54631	5668
1359	54670	5627
1360	54715	5588
1361	54753	5547
1362	54791	5507
1363	54830	5466
1364	54868	5426
1365	54906	5386
1366	54944	5345
1367	54982	5305
1368	55021	5265
1369	55064	5225
1370	55107	5185
1371	55148	5145
1372	55186	5104
1373	55225	5064
1374	55266	5024
1375	55307	4984
1376	55351	4944
1377	55394	4904
1378	55433	4864
1379	55475	4823
1380	55515	4783
1381	55557	4743
1382	55600	4703
1383	55639	4663
1384	55680	4623
1385	55720	4583
1386	55760	4542
1387	55798	4502
1388	55837	4462
1389	55876	4421
1390	55916	4381
1391	55956	4341
1392	55995	4301
1393	56036	4261
1394	56076	4220
1395	56114	4180
1396	56154	4140
1397	56195	4100
1398	56238	4060
1399	56280	4020
1400	56319	3979
1401	56358	3939
1402	56398	3899
1403	56437	3858
1404	56476	3818
1405	56514	3778
1406	56555	3738
1407	56601	3698
1408	56644	3658
1409	56684	3618
1410	56724	3577
1411	56762	3537
1412	56802	3497
1413	56840	3457
1414	56878	3416
1415	56916	3376
1416	56956	3336
1417	56997	3296
1418	57035	3255
1419	57074	3215
1420	57115	3175
1421	57152	3134
1422	57190	3094
1423	57227	3054
1424	57265	3013
1425	57304	2973
1426	57341	2933
1427	57380	2893
1428	57420	2852
1429	57460	2812
1430	57497	2772
1431	57534	2732
1432	57573	2691
1433	57610	2651
1434	57649	2611
1435	57686	2570
1436	57724	2530
1437	57762	2490
1438	57800	2450
1439	57838	2409
1440	57876	2369
1441	57915	2329
1442	57952	2289
1443	57991	2248
1444	58030	2208
1445	58069	2168
1446	58106	2128
1447	58144	2088
1448	58183	2047
1449	58221	2007
1450	58258	1967
1451	58297	1927
1452	58334	1886
1453	58375	1846
1454	58412	1806
1455	58449	1766
1456	58487	1726
1457	58525	1685
1458	58563	1645
1459	58602	1605
1460	58640	1565
1461	58679	1525
1462	58719	1485
1463	58757	1444
1464	58794	1404
1465	58831	1364
1466	58869	1324
1467	58906	1284
1468	58944	1243
1469	58981	1203
1470	59020	1163
1471	59058	1123
1472	59096	1083
1473	59133	1043
1474	59171	1002
1475	59209	962
1476	59247	922
1477	59286	882
1478	59324	842
1479	59361	802
1480	59400	762
1481	59438	721
1482	59474	681
1483	59513	641
1484	59551	601
1485	59590	561
1486	59629	521
1487	59668	481
1488	59704	441
1489	59742	400
1490	59779	360
1491	59818	320
1492	59857	280
1493	59895	240
1494	59933	200
1495	59972	160
1496	60010	120
1497	60048	80
1498	60086	40
1499	60124	0
